loan_id,customer_id,loan_amount,term_months,interest_rate,application_date,status,defaulted,age,gender,income,employment_status,city,credit_score,credit_score_provider,last_updated,application_year,application_month,loan_to_income_ratio,risk_segment
LOAN000001,CUST0125,493297.41,24,6.34,2024-10-30,APPROVED,0,33,F,178185,Retired,Austin,486.0,TransUnion,2025-09-30T13:25:04.089034,2024,10,2.77,High Risk
LOAN000002,CUST0160,34798.11,24,22.55,2024-10-20,APPROVED,0,31,F,56517,Self-Employed,Seattle,438.0,TransUnion,2025-09-30T13:25:04.424547,2024,10,0.62,High Risk
LOAN000003,CUST0150,83816.43,12,19.73,2025-06-10,APPROVED,0,25,F,51105,Self-Employed,Austin,802.0,Equifax,2025-09-30T13:25:04.262798,2025,6,1.64,Low Risk
LOAN000004,CUST0081,182108.63,12,23.63,2025-07-17,APPROVED,0,23,M,127564,Employed,Seattle,562.0,TransUnion,2025-09-30T13:25:03.427390,2025,7,1.43,High Risk
LOAN000005,CUST0176,194356.33,24,20.55,2025-02-27,APPROVED,0,71,M,249539,Unemployed,Chicago,614.0,Equifax,2025-09-30T13:25:32.379956,2025,2,0.78,Medium Risk
LOAN000006,CUST0171,398492.82,48,21.78,2025-04-17,APPROVED,0,24,M,101576,Retired,New York,351.0,TransUnion,2025-09-30T13:25:04.650180,2025,4,3.92,High Risk
LOAN000007,CUST0120,303273.66,12,19.33,2024-11-27,REJECTED,0,42,F,202984,Self-Employed,Seattle,559.0,Experian,2025-09-30T13:25:04.028711,2024,11,1.49,High Risk
LOAN000008,CUST0004,95224.52,12,12.24,2024-11-20,PENDING,0,73,M,113168,Retired,San Francisco,351.0,Experian,2025-09-30T13:25:02.509634,2024,11,0.84,High Risk
LOAN000009,CUST0279,118791.5,36,12.24,2025-02-14,REJECTED,0,65,F,43634,Retired,Austin,775.0,Equifax,2025-09-30T13:25:06.384107,2025,2,2.72,Low Risk
LOAN000010,CUST0256,9096.12,36,23.78,2025-04-29,PENDING,0,30,M,92061,Self-Employed,New York,491.0,Experian,2025-09-30T13:25:06.034732,2025,4,0.1,High Risk
